ID;UF;UFN;UF_SIGLA;AR_UF_2017
1;11;Rondônia;RO;237765,293
2;12;Acre;AC;164123,737
3;13;Amazonas;AM;1559146,876
4;14;Roraima;RR;224300,805
5;15;Pará;PA;1247955,238
6;16;Amapá;AP;142828,521
7;17;Tocantins;TO;277720,412
8;21;Maranhão;MA;331936,949
9;22;Piauí;PI;251611,929
10;23;Ceará;CE;148887,633
11;24;Rio Grande do Norte;RN;52811,107
12;25;Paraíba;PB;56468,435
13;26;Pernambuco;PE;98076,021
14;27;Alagoas;AL;27848,140
15;28;Sergipe;SE;21918,443
16;29;Bahia;BA;564732,450
17;31;Minas Gerais;MG;586520,732
18;32;Espirito Santo;ES;46086,907
19;33;Rio de Janeiro;RJ;43781,588
20;35;São Paulo;SP;248219,627
21;41;Paraná;PR;199307,939
22;42;Santa Catarina;SC;95737,954
23;43;Rio Grande do Sul;RS;281737,888
24;50;Mato Grosso do Sul;MS;357145,531
25;51;Mato Grosso;MT;903202,446
26;52;Goiás;GO;340106,492
27;53;Distrito Federal;DF;5779,997
